Hour,Feature,Coefficient,AbsoluteCoefficient,Rank
Hour_8,hour TEMP,0.2946234551459881,0.2946234551459881,7
Hour_8,cbwd_cv,0.2635184628388357,0.2635184628388357,8
Hour_8,cbwd_NE,-0.2538432453170415,0.2538432453170415,9
Hour_8,hour DEWP,-0.2430797734510322,0.2430797734510322,10
Hour_8,Iws Ir,-0.19691197608037267,0.19691197608037267,11
Hour_8,PRES^2,-0.1897074967885824,0.1897074967885824,12
Hour_8,month^2,0.17827943982623218,0.17827943982623218,13
Hour_8,month Ir,-0.15629292126486358,0.15629292126486358,14
Hour_8,PRES,0.15441778267157766,0.15441778267157766,15
Hour_8,Iws Is,0.14798973418810576,0.14798973418810576,16
Hour_8,month,-0.14474238687671453,0.14474238687671453,17
Hour_8,hour^2,-0.1401975151604981,0.1401975151604981,18
Hour_8,Iws,-0.13993939150577417,0.13993939150577417,19
Hour_8,day DEWP,-0.1385090511508247,0.1385090511508247,20
Hour_8,Ir,-0.13797499240722233,0.13797499240722233,21
Hour_8,day pm2.5,0.13231417968964615,0.13231417968964615,22
Hour_8,pm2.5 PRES,0.12847558338219547,0.12847558338219547,23
Hour_8,DEWP TEMP,-0.1272115066547193,0.1272115066547193,24
Hour_8,month day,0.12348447033174428,0.12348447033174428,25
Hour_8,pm2.5 Iws,0.12013486014310346,0.12013486014310346,26
Hour_8,month pm2.5,0.1183681332683683,0.1183681332683683,27
Hour_8,hour,0.10557293769541977,0.10557293769541977,28
Hour_8,TEMP PRES,-0.10141165660232845,0.10141165660232845,29
Hour_8,day TEMP,0.09359700718383868,0.09359700718383868,30
Hour_8,month DEWP,-0.09108723344534432,0.09108723344534432,31
Hour_8,month Iws,0.08619820631246636,0.08619820631246636,32
Hour_8,TEMP,0.08432789862426006,0.08432789862426006,33
Hour_8,month PRES,0.07329828684509422,0.07329828684509422,34
Hour_8,month TEMP,0.07073131567839679,0.07073131567839679,35
Hour_8,DEWP Iws,0.06596146993766559,0.06596146993766559,36
Hour_8,pm2.5 Ir,-0.06434146376102941,0.06434146376102941,37
Hour_8,TEMP^2,-0.06020400771260579,0.06020400771260579,38
Hour_8,month Is,-0.051968710323593716,0.051968710323593716,39
Hour_8,DEWP Ir,-0.05123051764961037,0.05123051764961037,40
Hour_8,day^2,-0.04922497607426732,0.04922497607426732,41
Hour_8,Is,0.04667762629582516,0.04667762629582516,42
Hour_8,hour Ir,-0.045368349997454795,0.045368349997454795,43
Hour_8,day,0.04464805171470501,0.04464805171470501,44
Hour_8,DEWP Is,-0.0437358616035908,0.0437358616035908,45
Hour_8,TEMP Ir,0.03801148025250736,0.03801148025250736,46
Hour_8,TEMP Is,-0.03748243718867121,0.03748243718867121,47
Hour_8,day PRES,-0.03554106042238279,0.03554106042238279,48
Hour_8,DEWP PRES,0.033690459698883915,0.033690459698883915,49
Hour_8,PRES Ir,0.03353306261381885,0.03353306261381885,50
Hour_8,day Is,0.03086513213996858,0.03086513213996858,51
Hour_8,TEMP Iws,0.029563682148970084,0.029563682148970084,52
Hour_8,Iws^2,0.028932190836843227,0.028932190836843227,53
Hour_8,hour PRES,0.022190989105892962,0.022190989105892962,54
Hour_8,pm2.5 DEWP,-0.020897120018244016,0.020897120018244016,55
Hour_8,day Iws,-0.020649904398208723,0.020649904398208723,56
Hour_8,hour Iws,-0.018470152094437562,0.018470152094437562,57
Hour_8,pm2.5 TEMP,-0.017792267184033896,0.017792267184033896,58
Hour_8,hour Is,-0.009883987917596412,0.009883987917596412,59
Hour_8,PRES Iws,-0.009609677663761947,0.009609677663761947,60
Hour_8,pm2.5 Is,-0.008655386374427938,0.008655386374427938,61
Hour_8,PRES Is,-0.008517360960545027,0.008517360960545027,62
Hour_8,month hour,0.007789669654083712,0.007789669654083712,63
